judul berita,link berita,topik berita,waktu
"Mudik Dilarang, Alihkan Uang THR untuk 4 Hal Ini",https://biz.kompas.com/read/2021/04/25/170000028/mudik-dilarang-alihkan-uang-thr-untuk-4-hal-ini,ADVERTORIAL,"25/04/2021, 17:00 WIB"
"Update Bandara yang Sediakan Tes GeNose, Harga, dan Cara Pesannya",https://www.kompas.com/tren/read/2021/04/25/170000665/update-bandara-yang-sediakan-tes-genose-harga-dan-cara-pesannya,TREN,"25/04/2021, 17:00 WIB"
"UPDATE 25 April: 4.402 Kasus Baru Covid-19 Tersebar di 33 Provinsi, Paling Banyak DKI Jakarta",https://nasional.kompas.com/read/2021/04/25/16570261/update-25-april-4402-kasus-baru-covid-19-tersebar-di-33-provinsi-paling,NEWS,"25/04/2021, 16:57 WIB"
"KRI Nanggala-402, Perjalanan Korps Hiu Kencana, dan Motto Tabah sampai Akhir...",https://www.kompas.com/tren/read/2021/04/25/165600165/kri-nanggala-402-perjalanan-korps-hiu-kencana-dan-motto-tabah-sampai-akhir-,TREN,"25/04/2021, 16:56 WIB"
"Brigjen TNI Gusti Putu Gugur Ditembak KKB, Jenazah Belum Bisa Dievakuasi",https://regional.kompas.com/read/2021/04/25/165325378/brigjen-tni-gusti-putu-gugur-ditembak-kkb-jenazah-belum-bisa-dievakuasi,REGIONAL,"25/04/2021, 16:53 WIB"
MUI Ajak Umat Islam Gelar Shalat Gaib bagi Awak KRI Nanggala,https://nasional.kompas.com/read/2021/04/25/16522331/mui-ajak-umat-islam-gelar-shalat-gaib-bagi-awak-kri-nanggala,NEWS,"25/04/2021, 16:52 WIB"
"Prediksi Line Up Persib Vs Persija - Nick dan Febri Absen, Simic Bugar",https://bola.kompas.com/read/2021/04/25/16500048/prediksi-line-up-persib-vs-persija-nick-dan-febri-absen-simic-bugar,BOLA,"25/04/2021, 16:50 WIB"
"KRI Nanggala-402 Tenggelam, Ini Penjelasan KSAL Soal Blackout dan Serpihan Kapal ",https://regional.kompas.com/read/2021/04/25/164840478/kri-nanggala-402-tenggelam-ini-penjelasan-ksal-soal-blackout-dan-serpihan,REGIONAL,"25/04/2021, 16:48 WIB"
"UPDATE 25 April: 6.822.304 Orang Sudah Divaksinasi Covid-19 Dosis Kedua, 11.733.923 Dosis Pertama",https://nasional.kompas.com/read/2021/04/25/16465281/update-25-april-6822304-orang-sudah-divaksinasi-covid-19-dosis-kedua,NEWS,"25/04/2021, 16:46 WIB"
Novel Retrocession Cocok bagi Kamu Si Single Fighter,https://edukasi.kompas.com/read/2021/04/25/164652071/novel-retrocession-cocok-bagi-kamu-si-single-fighter,EDUKASI,"25/04/2021, 16:46 WIB"
Reaksi Dul Jaelani Saat Diprediksi Putus dari Tissa Biani Sebelum 2 Tahun,https://www.kompas.com/hype/read/2021/04/25/164600666/reaksi-dul-jaelani-saat-diprediksi-putus-dari-tissa-biani-sebelum-2-tahun,HYPE,"25/04/2021, 16:46 WIB"
Kepala BIN Daerah Papua Gugur Ditembak KKB di Beoga,https://regional.kompas.com/read/2021/04/25/164556278/kepala-bin-daerah-papua-gugur-ditembak-kkb-di-beoga,REGIONAL,"25/04/2021, 16:45 WIB"
"UPDATE Covid-19 di Jabar, Jateng, Banten, Sumsel, Babel, dan Lampung 25 April 2021",https://regional.kompas.com/read/2021/04/25/164547878/update-covid-19-di-jabar-jateng-banten-sumsel-babel-dan-lampung-25-april,REGIONAL,"25/04/2021, 16:45 WIB"
UPDATE 25 April: 42.719 Spesimen Covid-19 Diperiksa dalam Sehari,https://nasional.kompas.com/read/2021/04/25/16424451/update-25-april-42719-spesimen-covid-19-diperiksa-dalam-sehari,NEWS,"25/04/2021, 16:42 WIB"
Moeldoko Resmikan Perkumpulan Kendaraan Listrik Indonesia,https://otomotif.kompas.com/read/2021/04/25/164100515/moeldoko-resmikan-perkumpulan-kendaraan-listrik-indonesia,OTOMOTIF,"25/04/2021, 16:41 WIB"
